gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B	CD14	CD4T	CD8T	DCs	FGR3	Mega	NK
DSC2	Q02487	False	DSC2_HUMAN		CPI-SS06D13FCD3	DSC2	0.0	0.008	0.0	0.0	0.005	0.003	0.0	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC0149E8473	FN1	0.0	0.02	0.0	0.003	0.0	0.0	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SC088D2EEF4	L1CAM	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SC0D085D655	THBS1	0.018	0.771	0.013	0.019	0.306	0.134	0.188	0.011
CD40LG	P29965	False	CD40L_HUMAN		CPI-SC0AFB661A4	CD40LG	0.001	0.003	0.069	0.009	0.0	0.0	0.09	0.004
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0C09120F1	ICAM1	0.003	0.201	0.006	0.007	0.197	0.215	0.0	0.028
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SC071B77A18	JAM3	0.007	0.0	0.009	0.003	0.0	0.0	0.0	0.003
C3	P01024	False	CO3_HUMAN		CPI-SC0C93C7670	C3	0.002	0.003	0.001	0.0	0.0	0.0	0.0	0.0
FCER2	P06734	False	FCER2_HUMAN		CPI-SC00D92ECAF	FCER2	0.09	0.002	0.0	0.0	0.0	0.009	0.0	0.0
GP1BA	P07359	False	GP1BA_HUMAN		CPI-SC0329DFA42	GP1BA	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC08CB03AD8	ICAM1	0.003	0.201	0.006	0.007	0.197	0.215	0.0	0.028
FCER2	P06734	False	FCER2_HUMAN		CPI-SC0542462B9	FCER2	0.09	0.002	0.0	0.0	0.0	0.009	0.0	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC08C485EAE	FN1	0.0	0.02	0.0	0.003	0.0	0.0	0.0	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SC0B80B8591	THBS1	0.018	0.771	0.013	0.019	0.306	0.134	0.188	0.011
FN1	P02751	False	FINC_HUMAN		CPI-SC0F96CE387	FN1	0.0	0.02	0.0	0.003	0.0	0.0	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SC0C2126F8E	JAM2	0.006	0.0	0.0	0.0	0.005	0.0	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SC0C81483EA	SPP1	0.0	0.036	0.001	0.0	0.01	0.022	0.0	0.0
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC0B2557C9D	VCAM1	0.0	0.0	0.002	0.012	0.0	0.0	0.0	0.0
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SC0E029AB31	PLAUR	0.031	2.12	0.06	0.04	1.071	2.111	0.399	0.054
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.0	0.02	0.0	0.003	0.0	0.0	0.0	0.0
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	0.0	0.0	0.002	0.012	0.0	0.0	0.0	0.0
MADCAM1	Q13477	False	MADCA_HUMAN		CPI-SC056FC1F11	MADCAM1	0.007	0.0	0.006	0.014	0.0	0.0	0.0	0.006
FN1	P02751	False	FINC_HUMAN		CPI-SC06C3BA86F	FN1	0.0	0.02	0.0	0.003	0.0	0.0	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SC02CB6F5A5	L1CAM	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CD40LG	P29965	False	CD40L_HUMAN		CPI-SC03A4FA18B	CD40LG	0.001	0.003	0.069	0.009	0.0	0.0	0.09	0.004
FN1	P02751	False	FINC_HUMAN		CPI-SC08F923F07	FN1	0.0	0.02	0.0	0.003	0.0	0.0	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SC01D9AD677	L1CAM	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC06D7BD0F6	FN1	0.0	0.02	0.0	0.003	0.0	0.0	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SC0FCA446B5	L1CAM	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC07763D025	LAMC1	0.006	0.004	0.0	0.0	0.0	0.0	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SC03E67206C	SPP1	0.0	0.036	0.001	0.0	0.01	0.022	0.0	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SC02EA03F82	THBS1	0.018	0.771	0.013	0.019	0.306	0.134	0.188	0.011
FCER2	P06734	False	FCER2_HUMAN		CPI-SC0A5BCC92E	FCER2	0.09	0.002	0.0	0.0	0.0	0.009	0.0	0.0
IGF1	P05019	False	IGF1_HUMAN		CPI-SC0D3D23FAA	IGF1	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SC0C4FD0754	PLAUR	0.031	2.12	0.06	0.04	1.071	2.111	0.399	0.054
VWF	P04275	False	VWF_HUMAN		CPI-SC060FE7871	VWF	0.0	0.002	0.0	0.0	0.005	0.0	0.0	0.0
MMP2	P08253	False	MMP2_HUMAN		CPI-SC0A6D5D2B1	MMP2	0.0	0.009	0.0	0.0	0.005	0.002	0.0	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC09B45FB39	FN1	0.0	0.02	0.0	0.003	0.0	0.0	0.0	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	ICAM1	0.003	0.201	0.006	0.007	0.197	0.215	0.0	0.028
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC00035437A	ICAM1	0.003	0.201	0.006	0.007	0.197	0.215	0.0	0.028
ICAM2	P13598	False	ICAM2_HUMAN		CPI-SC0943ECD6E	ICAM2	0.209	0.124	0.397	0.147	0.205	0.465	0.0	0.258
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SC09DC9200A	ICAM3	0.195	0.174	0.18	0.268	0.267	0.5	0.259	0.231
ICAM4	Q14773	False	ICAM4_HUMAN		CPI-SC0A3A31D04	ICAM4	0.001	0.002	0.0	0.0	0.009	0.054	0.0	0.0
F11R	Q9Y624	False	JAM1_HUMAN		CPI-SC0DEE2AF32	F11R	0.007	0.023	0.012	0.024	0.074	0.02	0.0	0.021
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	ICAM1	0.003	0.201	0.006	0.007	0.197	0.215	0.0	0.028
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	JAM2	0.006	0.0	0.0	0.0	0.005	0.0	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	JAM3	0.007	0.0	0.009	0.003	0.0	0.0	0.0	0.003
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SC030C83222	L1CAM	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	L1CAM	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CHL1	O00533	False	NCHL1_HUMAN		CPI-SS0A5AFF451	CHL1	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC024FAED24	LAMC1	0.006	0.004	0.0	0.0	0.0	0.0	0.0	0.0
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC03FF6E42F	LAMC1	0.006	0.004	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	PVR	0.0	0.009	0.0	0.0	0.015	0.008	0.0	0.003
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.018	0.771	0.013	0.019	0.306	0.134	0.188	0.011
ENTPD1	P49961	False	ENTP1_HUMAN		CPI-SS0E90C46BC	ENTPD1	0.061	0.038	0.008	0.002	0.467	0.066	0.0	0.014
ENTPD1	P49961	False	ENTP1_HUMAN		CPI-SS08C884E97	ENTPD1	0.061	0.038	0.008	0.002	0.467	0.066	0.0	0.014
ENTPD1	P49961	False	ENTP1_HUMAN		CPI-SS0276D5C7E	ENTPD1	0.061	0.038	0.008	0.002	0.467	0.066	0.0	0.014
ASIP	P42127	False	ASIP_HUMAN		CPI-SS019ABECEC	ASIP	0.0	0.002	0.0	0.0	0.024	0.0	0.0	0.0
POMC	P01189	False	COLI_HUMAN		CPI-SS00BD8FF72	POMC	0.026	0.045	0.026	0.017	0.033	0.041	0.0	0.038
AGRN	O00468	False	AGRIN_HUMAN		CPI-SS0593F278B	AGRN	0.001	0.005	0.0	0.0	0.032	0.0	0.0	0.0
LRFN4	Q6PJG9	False	LRFN4_HUMAN		CPI-SS064D15A83	LRFN4	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
SLITRK4	Q8IW52	False	SLIK4_HUMAN		CPI-SS0EEF491E3	SLITRK4	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0
APP	P05067	False	A4_HUMAN		CPI-SS080C81D37	APP	0.101	0.057	0.066	0.0	0.216	0.054	0.12	0.019
APP	P05067	False	A4_HUMAN		CPI-SS0F66EA6BE	APP	0.101	0.057	0.066	0.0	0.216	0.054	0.12	0.019
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS030BB46BB	ANXA1	0.125	2.576	1.892	2.654	2.514	2.337	1.098	1.733
CCL23	P55773	False	CCL23_HUMAN		CPI-SS05B2931D3	CCL23	0.0	0.022	0.0	0.0	0.0	0.04	0.0	0.0
APP	P05067	False	A4_HUMAN		CPI-SS0CB6F5575	APP	0.101	0.057	0.066	0.0	0.216	0.054	0.12	0.019
APLP2	Q06481	False	APLP2_HUMAN		CPI-SS0DF830287	APLP2	0.176	0.904	0.087	0.143	0.449	0.528	0.101	0.2
APP	P05067	False	A4_HUMAN		CPI-SS07ACDDCD6	APP	0.101	0.057	0.066	0.0	0.216	0.054	0.12	0.019
APP	P05067	False	A4_HUMAN		CPI-SS097A84265	APP	0.101	0.057	0.066	0.0	0.216	0.054	0.12	0.019
PI16	Q6UXB8	False	PI16_HUMAN		CPI-SS012E7C8B8	PI16	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
APP	P05067	False	A4_HUMAN		CPI-SC0E89A4EF0	APP	0.101	0.057	0.066	0.0	0.216	0.054	0.12	0.019
APOA1	P02647	False	APOA1_HUMAN		CPI-SC0FE3CE9D1	APOA1	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.003
APOE	P02649	False	APOE_HUMAN		CPI-SC06C75F978	APOE	0.0	0.007	0.0	0.0	0.029	0.0	0.0	0.0
CLU	P10909	False	CLUS_HUMAN		CPI-SC046AFCFE9	CLU	0.019	0.019	0.044	0.089	0.006	0.006	0.0	0.046
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	ANXA1	0.125	2.576	1.892	2.654	2.514	2.337	1.098	1.733
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS06CCF5A54	ANXA1	0.125	2.576	1.892	2.654	2.514	2.337	1.098	1.733
HEBP1	Q9NRV9	False	HEBP1_HUMAN		CPI-SS0EEECE1C4	HEBP1	0.026	0.227	0.04	0.009	0.126	0.21	0.126	0.023
APOA1	P02647	False	APOA1_HUMAN		CPI-SS015B29D3F	APOA1	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.003
APOA1	P02647	False	APOA1_HUMAN		CPI-SC06DAC3119	APOA1	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.003
LRPAP1	P30533	False	AMRP_HUMAN		CPI-SS02A53F29E	LRPAP1	0.327	0.337	0.346	0.415	0.443	0.645	0.145	0.51
BMP4	P12644	False	BMP4_HUMAN		CPI-SC052486D3E	BMP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMP6	P22004	False	BMP6_HUMAN		CPI-SC0C97FACEA	BMP6	0.001	0.001	0.0	0.0	0.005	0.0	0.0	0.0
BMP4	P12644	False	BMP4_HUMAN		CPI-SC01D95B14C	BMP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMP6	P22004	False	BMP6_HUMAN		CPI-SC0D05B755E	BMP6	0.001	0.001	0.0	0.0	0.005	0.0	0.0	0.0
BMP4	P12644	False	BMP4_HUMAN		CPI-SC0915DDE22	BMP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMP6	P22004	False	BMP6_HUMAN		CPI-SC00D19A858	BMP6	0.001	0.001	0.0	0.0	0.005	0.0	0.0	0.0
BMP6	P22004	False	BMP6_HUMAN		CPI-SC079BB7A02	BMP6	0.001	0.001	0.0	0.0	0.005	0.0	0.0	0.0
BMP6	P22004	False	BMP6_HUMAN		CPI-SC0A978EC39	BMP6	0.001	0.001	0.0	0.0	0.005	0.0	0.0	0.0
BMP6	P22004	False	BMP6_HUMAN		CPI-SC00DF87C38	BMP6	0.001	0.001	0.0	0.0	0.005	0.0	0.0	0.0
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0E3AA6B7B	NTN4	0.0	0.0	0.001	0.009	0.0	0.0	0.0	0.0
CALCA	P01258	False	CALC_HUMAN		CPI-SC00EA503F2	CALCA	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0
CALCB	P10092	False	CALCB_HUMAN		CPI-SC02CD655EB	CALCB	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.003
CCL13	Q99616	False	CCL13_HUMAN		CPI-SS09DAE86C9	CCL13	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
CCL15	Q16663	False	CCL15_HUMAN		CPI-SS0223F2B31	CCL15	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CCL26	Q9Y258	False	CCL26_HUMAN		CPI-SS01FCCEBB9	CCL26	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08BFF4F9B	CCL3	0.106	0.612	0.015	0.108	0.174	0.942	0.0	0.295
CCL3L1	P16619	False	CCL3L1		CPI-SS0C6311D2D	CCL3L1	0.012	0.07	0.0	0.0	0.032	0.117	0.0	0.003
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F6B529A1	CCL5	0.105	0.119	0.401	4.096	0.234	0.083	0.303	3.0
CCL7	P80098	False	CCL7_HUMAN		CPI-SS008CEEAB9	CCL7	0.005	0.424	0.004	0.012	0.018	0.014	0.0	0.0
CCL8	P80075	False	CCL8_HUMAN		CPI-SS0DF6991A8	CCL8	0.004	0.042	0.001	0.0	0.0	0.005	0.0	0.003
CCL22	O00626	False	CCL22_HUMAN		CPI-SS0AEC33FF1	CCL22	0.02	0.004	0.002	0.003	0.833	0.003	0.0	0.003
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	CXCL10	0.016	0.097	0.004	0.006	0.037	0.787	0.0	0.0
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS0CC738ABC	CXCL11	0.0	0.022	0.0	0.0	0.023	0.035	0.0	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0B1B18F2D	CXCL12	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	CXCL2	0.01	0.769	0.008	0.017	0.156	0.232	0.0	0.008
CXCL9	Q07325	False	CXCL9_HUMAN		CPI-SS068BC31E4	CXCL9	0.0	0.003	0.0	0.0	0.006	0.0	0.0	0.0
CCL13	Q99616	False	CCL13_HUMAN		CPI-SS02647DD07	CCL13	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0CF0E4DE9	CCL2	0.049	1.764	0.04	0.043	0.072	0.169	0.0	0.039
CCL26	Q9Y258	False	CCL26_HUMAN		CPI-SS0C2E7931B	CCL26	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CCL7	P80098	False	CCL7_HUMAN		CPI-SS0F5AA0D9B	CCL7	0.005	0.424	0.004	0.012	0.018	0.014	0.0	0.0
CCL8	P80075	False	CCL8_HUMAN		CPI-SS019381277	CCL8	0.004	0.042	0.001	0.0	0.0	0.005	0.0	0.003
CCL15	Q16663	False	CCL15_HUMAN		CPI-SS0A76E2CE9	CCL15	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CCL23	P55773	False	CCL23_HUMAN		CPI-SS049DF2278	CCL23	0.0	0.022	0.0	0.0	0.0	0.04	0.0	0.0
CCL26	Q9Y258	False	CCL26_HUMAN		CPI-SS0F06E4B3F	CCL26	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08DA48A5A	CCL3	0.106	0.612	0.015	0.108	0.174	0.942	0.0	0.295
CCL3L1	P16619	False	CCL3L1		CPI-SS0817CE2B3	CCL3L1	0.012	0.07	0.0	0.0	0.032	0.117	0.0	0.003
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	CCL5	0.105	0.119	0.401	4.096	0.234	0.083	0.303	3.0
CCL7	P80098	False	CCL7_HUMAN		CPI-SS02CC53E89	CCL7	0.005	0.424	0.004	0.012	0.018	0.014	0.0	0.0
CCL8	P80075	False	CCL8_HUMAN		CPI-SS087054090	CCL8	0.004	0.042	0.001	0.0	0.0	0.005	0.0	0.003
CCL22	O00626	False	CCL22_HUMAN		CPI-SS052B38F1C	CCL22	0.02	0.004	0.002	0.003	0.833	0.003	0.0	0.003
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0EA05941A	CCL5	0.105	0.119	0.401	4.096	0.234	0.083	0.303	3.0
CCL19	Q99731	False	CCL19_HUMAN		CPI-SS09239FB26	CCL19	0.0	0.001	0.0	0.0	0.034	0.0	0.0	0.0
CCL19	Q99731	False	CCL19_HUMAN		CPI-SS0605AC9BF	CCL19	0.0	0.001	0.0	0.0	0.034	0.0	0.0	0.0
CCL20	P78556	False	CCL20_HUMAN		CPI-SS0079E2156	CCL20	0.0	0.012	0.017	0.01	0.0	0.0	0.0	0.003
CCL27	Q9Y4X3	False	CCL27_HUMAN		CPI-SS0BFCF6B11	CCL27	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
CCL28	Q9NRJ3	False	CCL28_HUMAN		CPI-SS0BCCA6596	CCL28	0.015	0.0	0.023	0.013	0.0	0.0	0.0	0.008
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	CCL3	0.106	0.612	0.015	0.108	0.174	0.942	0.0	0.295
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	CCL4	0.101	0.439	0.032	1.059	0.033	0.79	0.0	1.033
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	CCL5	0.105	0.119	0.401	4.096	0.234	0.083	0.303	3.0
CCL7	P80098	False	CCL7_HUMAN		CPI-SS09C16258E	CCL7	0.005	0.424	0.004	0.012	0.018	0.014	0.0	0.0
CCL8	P80075	False	CCL8_HUMAN		CPI-SS0C30EC0DE	CCL8	0.004	0.042	0.001	0.0	0.0	0.005	0.0	0.003
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS0C491A3C1	PPBP	0.126	0.138	0.13	0.123	0.108	0.134	0.0	0.113
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	CXCL1	0.007	0.328	0.001	0.005	0.058	0.015	0.0	0.012
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	CXCL2	0.01	0.769	0.008	0.017	0.156	0.232	0.0	0.008
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.011	0.968	0.012	0.002	0.222	0.279	0.0	0.012
CXCL5	P42830	False	CXCL5_HUMAN		CPI-SS00270ECE6	CXCL5	0.002	0.039	0.001	0.002	0.011	0.013	0.0	0.003
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS093B46106	CXCL6	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	CXCL10	0.016	0.097	0.004	0.006	0.037	0.787	0.0	0.0
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS09FAC4977	CXCL11	0.0	0.022	0.0	0.0	0.023	0.035	0.0	0.0
CXCL9	Q07325	False	CXCL9_HUMAN		CPI-SS09A1EB4B3	CXCL9	0.0	0.003	0.0	0.0	0.006	0.0	0.0	0.0
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	PF4	0.036	0.034	0.054	0.054	0.041	0.046	0.0	0.03
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS0747FCACD	CXCL11	0.0	0.022	0.0	0.0	0.023	0.035	0.0	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS0C2437E0D	CXCL13	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
CXCL16	Q9H2A7	False	CXL16_HUMAN		CPI-SS0B1535576	CXCL16	0.085	1.028	0.023	0.009	1.439	2.451	0.371	0.024
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	C3	0.002	0.003	0.001	0.0	0.0	0.0	0.0	0.0
C3	P01024	False	CO3_HUMAN		CPI-SS00F4019EA	C3	0.002	0.003	0.001	0.0	0.0	0.0	0.0	0.0
C5	P01031	False	CO5_HUMAN		CPI-SS0A7E3A1AF	C5	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	C5	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0
UCN	P55089	False	UCN1_HUMAN		CPI-SS0A748917D	UCN	0.0	0.002	0.001	0.0	0.005	0.0	0.0	0.0
UCN2	Q96RP3	False	UCN2_HUMAN		CPI-SS058394CAD	UCN2	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS0AB1F04A0	CSF1	0.003	0.0	0.002	0.003	0.0	0.003	0.0	0.003
CSF2	P04141	False	CSF2_HUMAN		CPI-SC0DAAF158F	CSF2	0.005	0.0	0.002	0.01	0.011	0.0	0.0	0.009
EDN1	P05305	False	EDN1_HUMAN		CPI-SS09B92F236	EDN1	0.0	0.0	0.0	0.0	0.0	0.095	0.0	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0FF49C823	EFNA1	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0222DF7B4	EFNA3	0.005	0.0	0.002	0.009	0.0	0.0	0.0	0.021
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS05BB5902B	EFNA4	0.017	0.02	0.011	0.014	0.019	0.026	0.0	0.014
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS04E33D0FB	EFNA5	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	EFNA1	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	EFNA3	0.005	0.0	0.002	0.009	0.0	0.0	0.0	0.021
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	EFNA4	0.017	0.02	0.011	0.014	0.019	0.026	0.0	0.014
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS03446CB39	EFNB1	0.006	0.007	0.009	0.003	0.026	0.015	0.202	0.003
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS068ACD209	EFNA5	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS06E797E50	EFNB1	0.006	0.007	0.009	0.003	0.026	0.015	0.202	0.003
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS03C7D1520	EFNB1	0.006	0.007	0.009	0.003	0.026	0.015	0.202	0.003
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS040D3C47C	EFNB1	0.006	0.007	0.009	0.003	0.026	0.015	0.202	0.003
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS02B906C26	NRG1	0.0	0.063	0.0	0.003	0.005	0.0	0.0	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	NRG2	0.005	0.001	0.004	0.0	0.0	0.0	0.0	0.006
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS03E7FB333	HBEGF	0.0	0.105	0.0	0.0	0.095	0.053	0.0	0.003
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	FCER2	0.09	0.002	0.0	0.0	0.0	0.009	0.0	0.0
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS05632AB58	NCAM1	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.014
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS0C21302BC	NCAM1	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.014
LGALS3	P17931	False	LEG3_HUMAN		CPI-SS076940BCD	LGALS3	0.278	2.91	0.206	0.18	2.211	2.092	0.907	0.293
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS0F7FF099C	GAS6	0.0	0.005	0.001	0.0	0.078	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SC0CF28722B	LGALS9	0.049	0.16	0.015	0.005	0.301	0.276	0.0	0.021
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	LGALS9	0.049	0.16	0.015	0.005	0.301	0.276	0.0	0.021
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0CE693E3E	LGALS9	0.049	0.16	0.015	0.005	0.301	0.276	0.0	0.021
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS0AE964947	GAS6	0.0	0.005	0.001	0.0	0.078	0.0	0.0	0.0
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS0BDA0E5E0	GAS6	0.0	0.005	0.001	0.0	0.078	0.0	0.0	0.0
GDF10	P55107	False	GDF10_HUMAN		CPI-SC0A86600AA	GDF10	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
GDF11	O95390	False	GDF11_HUMAN		CPI-SC0002A7A8F	GDF11	0.0	0.0	0.001	0.007	0.0	0.0	0.0	0.0
GDF11	O95390	False	GDF11_HUMAN		CPI-SC00C9C81E3	GDF11	0.0	0.0	0.001	0.007	0.0	0.0	0.0	0.0
GDF11	O95390	False	GDF11_HUMAN		CPI-SC001669E22	GDF11	0.0	0.0	0.001	0.007	0.0	0.0	0.0	0.0
GDF11	O95390	False	GDF11_HUMAN		CPI-SC017215F7F	GDF11	0.0	0.0	0.001	0.007	0.0	0.0	0.0	0.0
HLA-A	HLAA	False	HLAA		CPI-SS0CBAA9BCC	HLA-A	3.24	2.906	3.392	4.102	3.173	3.178	2.438	4.292
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS048242083	HLA-F	0.49	0.348	0.369	0.495	0.507	0.539	0.362	0.678
HLA-B	HLAB	False	HLAB		CPI-SS0987A89AE	HLA-B	4.112	3.831	3.947	4.643	3.882	4.244	2.977	4.773
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0BDD10277	HLA-F	0.49	0.348	0.369	0.495	0.507	0.539	0.362	0.678
